Unit,Topic,Microtopic,MD File Name,Status,GitHub URL
Unit 1: Discrete Structures and Optimization,Mathematical Logic,Propositional Logic,mathematical_logic__propositional_logic.md,Pending,
Unit 1: Discrete Structures and Optimization,Mathematical Logic,Predicate Logic,mathematical_logic__predicate_logic.md,Pending,
Unit 1: Discrete Structures and Optimization,Mathematical Logic,Propositional Equivalences,mathematical_logic__propositional_equivalences.md,Pending,
Unit 1: Discrete Structures and Optimization,Mathematical Logic,Normal Forms,mathematical_logic__normal_forms.md,Pending,
Unit 1: Discrete Structures and Optimization,Mathematical Logic,Predicates and Quantifiers,mathematical_logic__predicates_and_quantifiers.md,Pending,
Unit 1: Discrete Structures and Optimization,Mathematical Logic,Nested Quantifiers,mathematical_logic__nested_quantifiers.md,Pending,
Unit 1: Discrete Structures and Optimization,Mathematical Logic,Rules of Inference,mathematical_logic__rules_of_inference.md,Pending,
Unit 1: Discrete Structures and Optimization,Sets and Relations,Set Operations,sets_and_relations__set_operations.md,Pending,
Unit 1: Discrete Structures and Optimization,Sets and Relations,Representation of Relations,sets_and_relations__representation_of_relations.md,Pending,
Unit 1: Discrete Structures and Optimization,Sets and Relations,Properties of Relations,sets_and_relations__properties_of_relations.md,Pending,
Unit 1: Discrete Structures and Optimization,Sets and Relations,Equivalence Relations,sets_and_relations__equivalence_relations.md,Pending,
Unit 1: Discrete Structures and Optimization,Sets and Relations,Partially Ordering,sets_and_relations__partially_ordering.md,Pending,
Unit 1: Discrete Structures and Optimization,Counting and Probability,Basics of Counting,counting_and_probability__basics_of_counting.md,Pending,
Unit 1: Discrete Structures and Optimization,Counting and Probability,Pigeonhole Principle,counting_and_probability__pigeonhole_principle.md,Pending,
Unit 1: Discrete Structures and Optimization,Counting and Probability,Permutations and Combinations,counting_and_probability__permutations_and_combinations.md,Pending,
Unit 1: Discrete Structures and Optimization,Counting and Probability,Inclusion-Exclusion Principle,counting_and_probability__inclusion-exclusion_principle.md,Pending,
Unit 1: Discrete Structures and Optimization,Counting and Probability,Mathematical Induction,counting_and_probability__mathematical_induction.md,Pending,
Unit 1: Discrete Structures and Optimization,Counting and Probability,Discrete Probability,counting_and_probability__discrete_probability.md,Pending,
Unit 1: Discrete Structures and Optimization,Counting and Probability,Bayes’ Theorem,counting_and_probability__bayes’_theorem.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Groups,group_theory__groups.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Subgroups,group_theory__subgroups.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Semigroups,group_theory__semigroups.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Product and Quotients of Structures,group_theory__product_and_quotients_of_structures.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Isomorphism,group_theory__isomorphism.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Homomorphism,group_theory__homomorphism.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Automorphism,group_theory__automorphism.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Rings,group_theory__rings.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Integral Domains,group_theory__integral_domains.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Fields,group_theory__fields.md,Pending,
Unit 1: Discrete Structures and Optimization,Group Theory,Applications of Group Theory,group_theory__applications_of_group_theory.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Simple Graph,graph_theory__simple_graph.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Multigraph,graph_theory__multigraph.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Weighted Graph,graph_theory__weighted_graph.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Paths and Circuits,graph_theory__paths_and_circuits.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Shortest Paths,graph_theory__shortest_paths.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Eulerian Paths and Circuits,graph_theory__eulerian_paths_and_circuits.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Hamiltonian Paths and Circuits,graph_theory__hamiltonian_paths_and_circuits.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Planar Graphs,graph_theory__planar_graphs.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Graph Coloring,graph_theory__graph_coloring.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Bipartite Graphs,graph_theory__bipartite_graphs.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Trees,graph_theory__trees.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Rooted Trees,graph_theory__rooted_trees.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Prefix Codes,graph_theory__prefix_codes.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Tree Traversals,graph_theory__tree_traversals.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Spanning Trees,graph_theory__spanning_trees.md,Pending,
Unit 1: Discrete Structures and Optimization,Graph Theory,Cut-Sets,graph_theory__cut-sets.md,Pending,
Unit 1: Discrete Structures and Optimization,Boolean Algebra,Boolean Functions,boolean_algebra__boolean_functions.md,Pending,
Unit 1: Discrete Structures and Optimization,Boolean Algebra,Representations of Boolean Functions,boolean_algebra__representations_of_boolean_functions.md,Pending,
Unit 1: Discrete Structures and Optimization,Boolean Algebra,Simplifications,boolean_algebra__simplifications.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Linear Programming - Model,optimization__linear_programming_-_model.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Graphical Solution,optimization__graphical_solution.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Simplex Method,optimization__simplex_method.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Dual Simplex Method,optimization__dual_simplex_method.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Sensitivity Analysis,optimization__sensitivity_analysis.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Integer Programming,optimization__integer_programming.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Transportation Models,optimization__transportation_models.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Assignment Models,optimization__assignment_models.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,PERT and CPM,optimization__pert_and_cpm.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Critical Path Calculations,optimization__critical_path_calculations.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Resource Levelling,optimization__resource_levelling.md,Pending,
Unit 1: Discrete Structures and Optimization,Optimization,Cost in Scheduling,optimization__cost_in_scheduling.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Digital Computers,digital_logic_circuits__digital_computers.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Logic Gates,digital_logic_circuits__logic_gates.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Boolean Algebra,digital_logic_circuits__boolean_algebra.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Map Simplifications,digital_logic_circuits__map_simplifications.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Combinational Circuits,digital_logic_circuits__combinational_circuits.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Flip-Flops,digital_logic_circuits__flip-flops.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Sequential Circuits,digital_logic_circuits__sequential_circuits.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Integrated Circuits,digital_logic_circuits__integrated_circuits.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Decoders,digital_logic_circuits__decoders.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Multiplexers,digital_logic_circuits__multiplexers.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Registers,digital_logic_circuits__registers.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Counters,digital_logic_circuits__counters.md,Pending,
Unit 2: Computer System Architecture,Digital Logic Circuits,Memory Unit,digital_logic_circuits__memory_unit.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Data Types,data_representation__data_types.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Number Systems,data_representation__number_systems.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Conversions,data_representation__conversions.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Complements,data_representation__complements.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Fixed Point Representation,data_representation__fixed_point_representation.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Floating Point Representation,data_representation__floating_point_representation.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Error Detection Codes,data_representation__error_detection_codes.md,Pending,
Unit 2: Computer System Architecture,Data Representation,Computer Arithmetic: Add/Sub/Mul/Div,data_representation__computer_arithmetic:_add/sub/mul/div.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Register Transfer Language,register_transfer__register_transfer_language.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Bus and Memory Transfers,register_transfer__bus_and_memory_transfers.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Arithmetic Microoperations,register_transfer__arithmetic_microoperations.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Logic Microoperations,register_transfer__logic_microoperations.md,Pending,
Unit 2: Computer System Architecture,Register Transfer,Shift Microoperations,register_transfer__shift_microoperations.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Stored Program Organization,basic_computer_org.__stored_program_organization.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Instruction Codes,basic_computer_org.__instruction_codes.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Computer Registers,basic_computer_org.__computer_registers.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Computer Instructions,basic_computer_org.__computer_instructions.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Timing and Control,basic_computer_org.__timing_and_control.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Instruction Cycle,basic_computer_org.__instruction_cycle.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Memory-Reference Instructions,basic_computer_org.__memory-reference_instructions.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Input-Output,basic_computer_org.__input-output.md,Pending,
Unit 2: Computer System Architecture,Basic Computer Org.,Interrupts,basic_computer_org.__interrupts.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Machine Language,programming_the_basic_computer__machine_language.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Assembly Language,programming_the_basic_computer__assembly_language.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Assembler,programming_the_basic_computer__assembler.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Program Loops,programming_the_basic_computer__program_loops.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Subroutines,programming_the_basic_computer__subroutines.md,Pending,
Unit 2: Computer System Architecture,Programming the Basic Computer,Input-Output Programming,programming_the_basic_computer__input-output_programming.md,Pending,
Unit 2: Computer System Architecture,Microprogrammed Control,Control Memory,microprogrammed_control__control_memory.md,Pending,
Unit 2: Computer System Architecture,Microprogrammed Control,Address Sequencing,microprogrammed_control__address_sequencing.md,Pending,
Unit 2: Computer System Architecture,Microprogrammed Control,Design of Control Unit,microprogrammed_control__design_of_control_unit.md,Pending,
Unit 2: Computer System Architecture,CPU,General Register Organization,cpu__general_register_organization.md,Pending,
Unit 2: Computer System Architecture,CPU,Stack Organization,cpu__stack_organization.md,Pending,
Unit 2: Computer System Architecture,CPU,Instruction Formats,cpu__instruction_formats.md,Pending,
Unit 2: Computer System Architecture,CPU,Addressing Modes,cpu__addressing_modes.md,Pending,
Unit 2: Computer System Architecture,CPU,RISC vs CISC,cpu__risc_vs_cisc.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Parallel Processing Concepts,pipelining__parallel_processing_concepts.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Pipelining Basics,pipelining__pipelining_basics.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Arithmetic Pipeline,pipelining__arithmetic_pipeline.md,Pending,
Unit 2: Computer System Architecture,Pipelining,Instruction Pipeline,pipelining__instruction_pipeline.md,Pending,
